SCD	speaker	tmin	tmax	text	string	conv
3001-1	A:	 776.893000	 778.73000	yeah (ppb) I found it easier [lah]	[lah]	3001
3001-1	A:	 974.709000	 976.70900	the hard disk you buy later [lah]	[lah]	3001
3001-1	A:	1187.321000	1188.15900	don't care [lah]	[lah]	3001
3001-1	A:	1202.384000	1203.29600	while I tell you [lah]	[lah]	3001
3001-2	B:	1220.288000	1221.74800	supposedly nine [lah]	[lah]	3001
3001-1	A:	1247.334000	1249.38400	so it means we've only been twenty minutes [lah]	[lah]	3001
3001-1	A:	1301.630000	1304.16800	but then (err) mine is at first twenty percent [lah]	[lah]	3001
3001-2	B:	1446.748000	1447.81000	Tuesday [lah]	[lah]	3001
3001-2	B:	1802.064000	1803.52600	that was his edit [lah]	[lah]	3001
3001-1	A:	1830.860000	1833.72300	just get it over and done with can't be bothered get it over and done with [lah]	[lah]	3001
3001-1	A:	1886.034000	1889.32100	but if I'm okay then okay [lah] we can spend we can go chill somewhere [lah]	[lah]	3001
3001-1	A:	1942.682000	1944.83200	one and a half years or two years ago something like that [lah]	[lah]	3001
3001-1	A:	2077.389000	2079.26400	no [lah] like more pale [lah]	[lah]	3001
3001-2	B:	2199.283000	2201.22100	but it doesn't hurt or anything [lah]	[lah]	3001
3001-2	B:	3029.450000	3034.05100	but I'm very easy going what if you you just ask okay [lah] I go [lah] if I got free time okay [lah] go [lah]	[lah]	3001
3001-2	B:	3230.196000	3232.54600	yeah yeah yeah I don't know his name [lah]	[lah]	3001
3001-1	A:	3246.504000	3247.49200	he is not skinny [lah]	[lah]	3001
3001-1	A:	3272.552000	3277.18000	apparently like he told (err) the same thing as Annabelle they were talking about something else then Annabelle told me about this [lah]	[lah]	3001
3001-1	A:	3354.289000	3356.71400	shag shag shag whatever [lah] whatever [lah]	[lah]	3001
3001-1	A:	3488.975000	3490.33800	actually even now [lah]	[lah]	3001
3001-1	A:	3602.004000	3604.36700	and then her University degree was not valid also [lah]	[lah]	3001
3001-2	B:	3676.034000	3677.18400	he failed [lah]	[lah]	3001
3001-2	B:	3682.884000	3683.99700	it failed [lah]	[lah]	3001
3001-1	A:	3906.759000	3907.87100	unfortunately [lah]	[lah]	3001
3001-2	B:	3926.092000	3927.94100	okay so earning profit [lah]	[lah]	3001
3001-1	A:	3937.708000	3938.88300	quite well as not bad [lah]	[lah]	3001
3001-1	A:	4123.406000	4124.79300	[oh] well that's life [lah]	[lah]	3001
3001-2	B:	4530.299000	4533.66400	just eight hours more from the normal that one [lah]	[lah]	3001
3001-1	A:	4825.616000	4826.23900	no [lah]	[lah]	3001
3001-1	A:	4897.428000	4900.29000	you can technically still keep on using Google Drive [lah]	[lah]	3001
3001-2	B:	5136.184000	5139.15900	it's still it's still advantageous to you [lah] it's still good to you [lah]	[lah]	3001
3001-1	A:	5161.975000	5163.15000	just a bit wasted only [lah]	[lah]	3001
3001-1	A:	5205.207000	5207.76500	a bit only [lah] like it's not as much you can see later [lah]	[lah]	3001
3001-1	A:	5221.385000	5224.73500	I I will try to book through Expedia in the future [lah]	[lah]	3001
3001-1	A:	6128.416000	6129.22800	I guess so [lah]	[lah]	3001
3001-1	A:	6466.699000	6467.84900	they said it's very bad [lah]	[lah]	3001
3001-2	B:	6522.642000	6524.64200	so you get you get medicine [lah]	[lah]	3001
3001-2	B:	6639.352000	6641.66500	but I guess for this kind of experiments it's okay [lah]	[lah]	3001
3001-1	A:	6890.859000	6891.58400	it's not too bad [lah]	[lah]	3001
3001-1	A:	6992.596000	6993.33400	aiya whatever [lah]	[lah]	3001
3003-2	B:	  96.095000	  97.14500	i headache [lah]	[lah]	3003
3003-2	B:	 122.964000	 124.41200	it's like a big burden [lah]	[lah]	3003
3003-2	B:	 246.258000	 250.64600	like cause (um) like you can see the people's work in front of you [lah]	[lah]	3003
3003-1	A:	 374.712000	 377.95000	I felt good that I like made their day [lah]	[lah]	3003
3003-1	A:	 394.475000	 397.82500	the Community Service club is like a C_C_A [lah]	[lah]	3003
3003-2	B:	1499.485000	1504.16000	like u~ in the morning like in the afternoon there are like different time belts [lah]	[lah]	3003
3003-1	A:	1718.460000	1719.24700	yeah [lah]	[lah]	3003
3003-2	B:	1745.810000	1747.56000	then if you don't want do then don't do [lah]	[lah]	3003
3003-1	A:	2083.371000	2085.84600	I show you I will show you later [lah]	[lah]	3003
3003-1	A:	2146.146000	2148.34600	so you got use #jeera# [lah]	[lah]	3003
3003-2	B:	2479.290000	2480.85200	not not my fault you're fat [lah]	[lah]	3003
3003-1	A:	2994.734000	2995.72100	ya quite true [lah]	[lah]	3003
3003-2	B:	3007.717000	3010.30500	like you can own time own target one [lah]	[lah]	3003
3003-1	A:	3182.380000	3183.94200	yeah the the tub [lah]	[lah]	3003
3003-2	B:	3383.485000	3385.02200	I guess the school do what they can [lah]	[lah]	3003
3003-2	B:	3710.745000	3712.42000	very typical one [lah]	[lah]	3003
3003-2	B:	3830.409000	3836.17100	look look at the star li~ (mm) actually you know the sun is a star can just look at the sun [lah]	[lah]	3003
3003-2	B:	3925.110000	3931.91000	so I think my mum was at the back of the queue so I just like walk around the how~ I I used to stay at #Hougang# Green [lah]	[lah]	3003
3003-2	B:	4080.146000	4081.52100	recognize me [lah]	[lah]	3003
3003-2	B:	4210.899000	4212.84900	hopefully my children aren't that dumb [lah]	[lah]	3003
3003-1	A:	4228.361000	4230.48600	but actually in actual fact the person's dead [lah]	[lah]	3003
3003-1	A:	4233.249000	4237.78600	ya I think so okay [lah] I I was quite dumb as a child [lah]	[lah]	3003
3003-1	A:	4381.174000	4382.81200	but they have like no hair [lah]	[lah]	3003
3003-1	A:	4402.775000	4405.63700	my cousin (um) was giving me tuition [lah]	[lah]	3003
3003-1	A:	4744.588000	4747.48800	(ppl) but I think my dad agreed [lah]	[lah]	3003
3003-2	B:	4889.742000	4894.17900	like I feel so bad then I was like actually it's not a big deal [lah] it's just shoes [lah]	[lah]	3003
3003-2	B:	4923.192000	4926.28000	I just don't like to be micro managed in groups [lah]	[lah]	3003
3003-2	B:	5994.359000	5996.30900	all your not all [lah]	[lah]	3003
3003-1	A:	6066.939000	6072.02600	ya I don't understand but I'll (ppl) I'll just try to und~ try to look like I understand [lah]	[lah]	3003
3003-2	B:	6068.128000	6069.27800	but it's okay [lah]	[lah]	3003
3003-2	B:	6676.670000	6678.84500	ya they are just trying to survive [lah]	[lah]	3003
3003-2	B:	8316.229000	8318.12900	[oh] so you trying to be healthy [lah]	[lah]	3003
3004-2	B:	 114.345000	 117.97600	no no man ball what in great in great company [ah] no [lah]	[lah]	3004
3004-2	B:	 254.623000	 257.08600	[orh] ya [eh] [oh] of course [lah]	[lah]	3004
3004-2	B:	 361.564000	 365.20200	which is like I don't know what's her age [lah] but should be late twenties thirties [lah]	[lah]	3004
3004-2	B:	 529.571000	 531.77100	you're her maid of honour [ah] no [lah]	[lah]	3004
3004-1	A:	 819.662000	 820.50000	okay [lah]	[lah]	3004
3004-1	A:	1088.692000	1089.98000	okay [lah]	[lah]	3004
3004-2	B:	1199.541000	1203.79100	she every she everyday ask me go a hiking go MacRitchie then I'm like I don't want [lah]	[lah]	3004
3004-2	B:	1290.014000	1291.08900	ya [lah]	[lah]	3004
3004-1	A:	1571.609000	1577.09700	so if you paid seven plus five [ah] eight nine ten eleven twelve you made twelve dollars okay [lah] twelve dollar not that bad [lah]	[lah]	3004
3004-2	B:	1627.831000	1628.49400	no [lah]	[lah]	3004
3004-2	B:	1703.271000	1704.10800	okay [lah]	[lah]	3004
3004-2	B:	1742.220000	1745.56000	ya for vain purposes it's okay [lah] then that one is okay [lah]	[lah]	3004
3004-1	A:	1770.792000	1772.56700	they are technically married [lah]	[lah]	3004
3004-2	B:	1951.056000	1953.33100	!aiya! banquet won't end so late [one] [lah]	[lah]	3004
3004-2	B:	1962.881000	1964.75600	ya don't need to sleep [one] [lah]	[lah]	3004
3004-2	B:	2007.859000	2008.70900	ya [lah]	[lah]	3004
3004-2	B:	2012.609000	2013.50800	ya [lah]	[lah]	3004
3004-2	B:	2050.646000	2051.44600	ya [lah]	[lah]	3004
3004-2	B:	2191.482000	2194.47000	means basically you're just gonna sit at the table [lah]	[lah]	3004
3004-1	A:	2389.973000	2391.46100	says the staff [lah]	[lah]	3004
3004-2	B:	2425.544000	2428.28200	(ppb) like like he trying to like hit on my friends or something [lah]	[lah]	3004
3004-1	A:	2442.048000	2444.97200	[oh] yeah anyway I never use miss so I don't know a lot of things [lah]	[lah]	3004
3004-1	A:	2591.818000	2593.18100	says her [lah]	[lah]	3004
3004-1	A:	2664.506000	2666.56800	doesn't look like retail [eh] but okay [lah]	[lah]	3004
3004-2	B:	2780.920000	2783.57000	[oh] right so [oh] so she sec five [lah]	[lah]	3004
3004-2	B:	2798.616000	2799.86600	never mind [lah]	[lah]	3004
3004-2	B:	2996.016000	2997.72800	(ppo) okay let me go and follow her [lah]	[lah]	3004
3004-1	A:	3180.018000	3183.41800	no wonder that time he keep wanting to work full shift full shift full shift [lah]	[lah]	3004
3004-2	B:	3226.232000	3227.54500	aunty all the way [lah]	[lah]	3004
3004-2	B:	3423.226000	3425.56400	where got scary [sia] not scary [lah]	[lah]	3004
3004-2	B:	3642.114000	3647.16400	then the boyfriend got damn angry [lah] like [oh] why that kind of thing and everything then I just then she was like crying [lah]	[lah]	3004
3004-2	B:	3723.423000	3727.13600	she quite close to the to my boss ya like they will talk [one] [lah]	[lah]	3004
3004-2	B:	3807.171000	3809.79300	I don't I don't know how much bank loan they take also [lah]	[lah]	3004
3004-2	B:	3989.760000	3990.91000	ya [lah]	[lah]	3004
3004-2	B:	4025.011000	4026.19900	adopt [lah]	[lah]	3004
3004-2	B:	4193.118000	4194.90600	oh-my-god she looks bad with bangs [lah]	[lah]	3004
3004-2	B:	4244.676000	4248.08400	I have no idea what anyway I have been looking for a job also [lah]	[lah]	3004
3004-2	B:	4260.638000	4262.67600	like for the job that I want [lah]	[lah]	3004
3004-2	B:	4287.655000	4289.75500	but ya but I don't think I will go U_B [lah]	[lah]	3004
3004-2	B:	4582.375000	4583.46200	<mandarin>鱼汤:yu tang</mandarin> [lah]	[lah]	3004
3004-1	A:	4653.690000	4658.31400	sleep depriva~ deprivation depriva~ !aiya! whatever [lah]	[lah]	3004
3004-2	B:	4699.188000	4700.10000	ya [lah]	[lah]	3004
3004-2	B:	4764.961000	4768.84900	she got tell my aunt [lah] that she want to go home that kind of thing like she don't want to work already [lah]	[lah]	3004
3004-2	B:	4770.905000	4775.39200	so technically we still have to pay the agent or something [ah] I can't I can't remember [lah]	[lah]	3004
3004-2	B:	4921.044000	4922.19400	studying [lah]	[lah]	3004
3004-2	B:	5036.996000	5037.88400	ya [lah]	[lah]	3004
3004-2	B:	5065.946000	5067.39600	but I'm telling you [lah]	[lah]	3004
3004-2	B:	5081.045000	5084.07000	I thought s_c_d_f as in means he's not very physically fit [lah]	[lah]	3004
3004-2	B:	5192.010000	5194.90800	[orh] as in like conversation [lah] like if I need something [lah]	[lah]	3004
3004-2	B:	5220.394000	5223.49400	[orh] like basically your brother like very no emotion that kind [lah]	[lah]	3004
3004-1	A:	5309.042000	5313.34200	like if you're driving eighty already and the guy is still so fast that means he's driving faster than you [lah]	[lah]	3004
3004-2	B:	5333.462000	5335.50200	for what [sia] no need [lah]	[lah]	3004
3004-1	A:	5402.528000	5406.51500	you know the parking that got the corner that one ya [lah]	[lah]	3004
3004-1	A:	5507.022000	5512.78400	Met~ auto got one course that is different from mine you need to go up the slope and brake and then come down that one right ya [lah]	[lah]	3004
3004-2	B:	5693.833000	5694.65800	ya [lah]	[lah]	3004
3004-2	B:	5773.019000	5774.45700	they say [one] I don't know [lah]	[lah]	3004
3004-2	B:	5895.559000	5896.20900	ya [lah]	[lah]	3004
3004-2	B:	5905.959000	5906.85900	something like that [lah]	[lah]	3004
3004-2	B:	5914.297000	5915.57200	just practice [lah]	[lah]	3004
3004-1	A:	5954.349000	5955.92400	then I #kena# fine [lah]	[lah]	3004
3004-2	B:	5979.259000	5981.08400	usually I never go over fifty one [lah]	[lah]	3004
3004-2	B:	5989.833000	5991.47100	ya he have [lah] of course [lah]	[lah]	3004
3004-1	A:	6114.161000	6114.84900	count [lah]	[lah]	3004
3004-2	B:	6332.933000	6333.80800	take another one [lah]	[lah]	3004
3004-2	B:	6359.416000	6360.64100	ya say that [lah]	[lah]	3004
3004-2	B:	6664.831000	6665.66900	then buy [lah]	[lah]	3004
3004-2	B:	6821.911000	6823.71100	it's not really a s_u_v [lah]	[lah]	3004
3004-1	A:	6857.026000	6860.65000	when needed [lah] then she will drive [lah] when she has the car also [lah]	[lah]	3004
3004-2	B:	6914.775000	6918.00000	he got stack he got stack at least two [lah] I think max two [lah]	[lah]	3004
3004-2	B:	6924.925000	6927.21300	ya true but ten percent also not say a lot [lah]	[lah]	3004
3004-2	B:	7080.101000	7082.68800	then I keep like I just !aiya! okay [lah] buy [lah] buy [lah]	[lah]	3004
3004-2	B:	7122.779000	7124.36600	no the Havaianas [lah]	[lah]	3004
3004-2	B:	7255.190000	7256.90200	then wear with this [lah] Superga [lah]	[lah]	3004
3004-2	B:	7258.102000	7260.61500	ya why cannot okay [what] can [lah]	[lah]	3004
3004-2	B:	7360.992000	7363.20400	everything you're just paying for the brand [lah]	[lah]	3004
3004-2	B:	7468.704000	7471.53900	where got ten so many people [ah] seven or eight [lah]	[lah]	3004
3004-2	B:	7476.189000	7477.45100	no [lah]	[lah]	3004
3004-2	B:	7509.599000	7510.76200	!aiya! never mind [lah]	[lah]	3004
3004-2	B:	7568.849000	7571.96100	lol then split with your b~ brother [lah]	[lah]	3004
3004-2	B:	7676.298000	7678.43600	[orh] so you can so you know how to do coffee [lah]	[lah]	3004
3004-1	A:	7749.937000	7753.35200	one lane two lane so this is the lane that is like that this is the lane that is like [lah]	[lah]	3004
3004-1	A:	7875.236000	7876.81100	he would have hit me already [lah]	[lah]	3004
3004-2	B:	7964.530000	7966.54300	like the way she treat my friend [lah]	[lah]	3004
3004-2	B:	7974.335000	7975.78500	punching bag [lah]	[lah]	3004
3004-1	A:	7980.410000	7982.23500	like vent vent anger [lah]	[lah]	3004
3004-1	A:	7998.372000	8000.08500	yeah [lah] that one I know [lah]	[lah]	3004
3004-2	B:	7999.815000	8002.85300	her her family is like one of the richest in Singapore one that kind [lah]	[lah]	3004
3004-2	B:	8049.107000	8052.82000	why as in honestly I don't know but influencer is also like that [one] [lah]	[lah]	3004
3005-1	A:	  88.147000	  89.42200	to whatever she likes [lah]	[lah]	3005
3005-1	A:	 106.721000	 114.35900	(uh) so it's like but the date is set right but then if (uh) so so is like if nothing bad happens it's gonna go ahead [lah]	[lah]	3005
3005-2	B:	 222.551000	 223.72600	scared [lah]	[lah]	3005
3005-1	A:	 259.174000	 262.98600	and yeah (ppo) at least I was awake [lah]	[lah]	3005
3005-1	A:	 412.878000	 418.26500	buy the tickets [lor] for the elephant sanctuary start booking everything in place to the date [lah]	[lah]	3005
3005-1	A:	 500.579000	 502.62900	never mind [lah] then take the M_R_T [lah]	[lah]	3005
3005-1	A:	 514.279000	 517.89200	[oh] that means you're going at eight [lah] you're reaching at eight [lah]	[lah]	3005
3005-1	A:	 545.019000	 546.37500	(um) not much [lah]	[lah]	3005
3005-2	B:	 941.501000	 946.81300	(ppl) but for enrolling in like primary school just go to one that's nearby [lah]	[lah]	3005
3005-1	A:	1236.591000	1239.74100	so is been like that for long long time [lah]	[lah]	3005
3005-1	A:	2825.566000	2829.00400	except instead of like a a room yeah you're out in the open [lah]	[lah]	3005
3005-1	A:	2829.004000	2830.39100	you're out at the hawker [lah]	[lah]	3005
3005-2	B:	3413.996000	3415.09600	not [lah]	[lah]	3005
3005-2	B:	4057.519000	4058.91100	[orh] no wonder [lah]	[lah]	3005
3005-1	A:	4073.454000	4076.15400	he he needs a lot of acknowledgement [lah]	[lah]	3005
3005-2	B:	4204.819000	4206.11900	(mm) no [lah]	[lah]	3005
3005-2	B:	4736.269000	4737.75600	okay wear [lah]	[lah]	3005
3005-2	B:	5845.908000	5851.30800	no like I have Melody right so Melody's friend is Heidi [lah] I'm not sure if you know much about Heidi [lah]	[lah]	3005
3005-1	A:	6602.707000	6604.66900	he's a tough nut to crack also [lah]	[lah]	3005
3005-1	A:	6617.794000	6622.08100	you'll find him folding his #origami# halfway he~ I mean he's still hearing and listening [lah]	[lah]	3005
3005-1	A:	6903.206000	6905.25600	I don't get ya it definitely gets you in [lah]	[lah]	3005
3005-1	A:	6909.194000	6914.26900	it just takes a day you just need to cloud it all to a hard drive and then transfer it over [lah]	[lah]	3005
3005-2	B:	6966.222000	6970.22200	they really really only buy MacBook because the RAM is good [lah]	[lah]	3005
3005-1	A:	6978.566000	6983.05300	because if not a lot of people they wouldn't be still so loyal to the brand [lah]	[lah]	3005
3005-1	A:	6985.491000	6989.94100	(uh) ya but I'm just saying I think alternatives in the market have have caught up [lah]	[lah]	3005
3005-1	A:	7016.178000	7019.17900	ya the branding has really worked for them [lah] I would say that [lah]	[lah]	3005
3005-2	B:	7251.572000	7255.42200	and I think you're kept in a space and th~ they have to keep tracking you [lah]	[lah]	3005
3005-1	A:	7523.272000	7524.72200	no [lah] is fine [lah]	[lah]	3005
3005-2	B:	7643.271000	7645.01100	unless they are going on Friday [lah]	[lah]	3005
3005-1	A:	7694.219000	7696.49400	I mean is really fine [lah]	[lah]	3005
3005-1	A:	7805.475000	7809.45100	it's it's cool you know like yeah I'm just doing my craft [lah]	[lah]	3005
3005-2	B:	8017.474000	8019.84900	actually I'm fine with anything [lah]	[lah]	3005
3005-1	A:	8045.603000	8050.95300	but the ten I mean transportation fee I mean if you don't count transport is is ten [lah] take home ten [lah]	[lah]	3005
3006-2	B:	1328.274000	1331.31200	what's what's his meaning of successful I mean you have to ask him that [lah]	[lah]	3006
3006-2	B:	2331.850000	2334.83800	some kind of like effort what just wear it [lah]	[lah]	3006
3006-2	B:	2452.974000	2456.14900	!aiya! Chinatown he only like it when there is events [lah]	[lah]	3006
3006-2	B:	2514.818000	2517.49300	[oh] so I think maybe I go #Dhoby-Ghaut# later [lah]	[lah]	3006
3006-1	A:	2669.141000	2671.62800	and but but I was very tired also [lah]	[lah]	3006
3006-2	B:	2692.670000	2695.38200	ya but there was no notification I think it's the phone [lah]	[lah]	3006
3006-1	A:	2878.449940	2879.57700	normally [lah]	[lah]	3006
3006-1	A:	2966.142000	2970.75500	but (uh) that's for the next [ah] next time no~ novels [lah]	[lah]	3006
3006-2	B:	3452.644000	3454.56700	just water coming out only [lah]	[lah]	3006
3006-2	B:	3991.788000	3995.55600	even you are just a kid he will really hit you like if you don't <mandarin>听话:ting hua</mandarin> [lah]	[lah]	3006
3006-2	B:	4241.942000	4243.35500	ya #Simpang-Bedok# [lah]	[lah]	3006
3006-2	B:	4255.858000	4256.77900	last time [lah]	[lah]	3006
3006-2	B:	4376.157000	4380.28200	and then he just like doing this to her and then I feel very bad for the girl [lah]	[lah]	3006
3006-2	B:	4522.631000	4526.48100	on her her her feed you know her feed the the stories [lah]	[lah]	3006
3006-2	B:	4775.245000	4777.18200	situations of their life [lah]	[lah]	3006
3006-1	A:	4858.772000	4860.28500	ya so like that [lah]	[lah]	3006
3006-2	B:	5173.840000	5175.41500	but it all depends [lah]	[lah]	3006
3006-2	B:	5328.060000	5329.98500	trying I don't mind [lah] ya [lah]	[lah]	3006
3006-2	B:	5434.303000	5436.54000	then you can't survive okay [lah] you can [lah]	[lah]	3006
3006-2	B:	5510.716000	5513.06600	that which I I think I still lack from [lah]	[lah]	3006
3006-2	B:	5869.369000	5870.90600	I I can one [lah]	[lah]	3006
3006-1	A:	6425.172000	6427.60900	but it's in everybody [lah] it's not just you [lah]	[lah]	3006
3006-2	B:	6674.504000	6675.16700	no [lah]	[lah]	3006
3006-2	B:	6724.316000	6725.05400	haven't [lah]	[lah]	3006
3006-2	B:	6781.916000	6782.97800	my feet [lah]	[lah]	3006
3006-2	B:	7038.100000	7039.40000	but is quite funny [lah]	[lah]	3006
3006-2	B:	7266.452000	7271.63900	[oh] it's like very because you don't you don't see the foam then you feel it's weird [lah]	[lah]	3006
3006-2	B:	7395.719000	7397.59400	but it's not like I had any makeup on [lah]	[lah]	3006
3006-2	B:	7887.869000	7889.89400	my next holiday is at #Tioman# [lah]	[lah]	3006
3006-2	B:	8008.532000	8011.26900	and but I also don't want to just keep studying [lah]	[lah]	3006
3008-1	A:	1122.190000	1124.30300	I don't know you spell [lah]	[lah]	3008
3008-2	B:	1380.830000	1382.86800	[oh] this is the portable portable one [lah]	[lah]	3008
3008-2	B:	1473.436000	1475.08600	ya but I didn't want to risk it [lah]	[lah]	3008
3008-2	B:	1732.017000	1733.56700	okay [lah] okay [lah] you buy you buy [lah]	[lah]	3008
3008-2	B:	1755.200000	1756.55000	(ppo) lighter flame [lah]	[lah]	3008
3008-2	B:	2689.021000	2691.90900	okay [lah] okay [lah] all I'm the f~ I'm the all my fault [lah]	[lah]	3008
3008-1	A:	3072.163000	3074.52500	like now I'm really speaking very bad [lah]	[lah]	3008
3008-2	B:	3100.278000	3101.22800	no [lah]	[lah]	3008
3008-1	A:	4752.080000	4753.14300	ya [lah]	[lah]	3008
3008-2	B:	4958.396000	4960.09600	no [lah]	[lah]	3008
3008-2	B:	5033.053000	5035.35300	no business [lah] that cost them money [lah]	[lah]	3008
3008-1	A:	5338.073000	5339.96100	I shouldn't have change with you [lah]	[lah]	3008
3008-1	A:	5492.686000	5495.77300	is so the guy's voice will have a equal distribution [lah]	[lah]	3008
3008-1	A:	5565.214000	5566.42600	you cut up [lah]	[lah]	3008
3008-2	B:	5748.584000	5749.18400	ya you eat [lah]	[lah]	3008
3008-2	B:	5831.492000	5833.61400	ya he say he won't be at #Yishun# today so nevermind [lah]	[lah]	3008
3009-1	A:	  35.561000	  38.76100	they didn't even give me the cake [eh] I'm so disappointed [lah]	[lah]	3009
3009-2	B:	  91.470000	  92.82000	like okay only [lah]	[lah]	3009
3009-2	B:	 369.936000	 371.77300	ya if I do a very good job [lah]	[lah]	3009
3009-2	B:	 524.647000	 526.79700	then you just target all people that work in the office [lah]	[lah]	3009
3009-2	B:	 787.048000	 787.79800	move [lah]	[lah]	3009
3009-1	A:	 864.200000	 866.91200	that unless unless we tar~ targeting hikers [lah]	[lah]	3009
3009-2	B:	 872.258000	 874.13300	now we need to create a new store [lah]	[lah]	3009
3009-2	B:	1301.477000	1304.10200	walking stick [ah] hiking stick [lah]	[lah]	3009
3009-2	B:	1307.740000	1309.82700	really [ah] all the same [lah]	[lah]	3009
3009-1	A:	1765.406000	1766.70600	ya two packet [lah]	[lah]	3009
3009-1	A:	2244.138000	2247.52500	ya that's like in another twenty more years [lah]	[lah]	3009
3009-2	B:	2246.697000	2247.54700	ya [lah]	[lah]	3009
3009-1	A:	2424.550000	2425.62500	like [what] [lah]	[lah]	3009
3009-2	B:	2593.533000	2594.74500	I guess we're all the same [lah]	[lah]	3009
3009-2	B:	2971.939000	2973.40200	confirm have one [lah]	[lah]	3009
3009-2	B:	2999.899000	3001.41200	ya all the indie stuff [lah]	[lah]	3009
3009-2	B:	3246.442000	3248.56200	[orh] [oh] because she got famous [lah]	[lah]	3009
3009-1	A:	3346.150000	3347.78700	I'm not trying to fight you [lah]	[lah]	3009
3009-2	B:	3805.676000	3806.78800	however [lah] same [lah]	[lah]	3009
3009-1	A:	4129.840000	4131.43200	(uh) ya ya [lah]	[lah]	3009
3009-2	B:	4134.372000	4135.83400	I also know ya [lah]	[lah]	3009
3009-2	B:	4440.910000	4441.58500	ya [lah]	[lah]	3009
3009-1	A:	4498.981000	4501.55600	since you wanna be the same as me you give me another one [lah]	[lah]	3009
3009-1	A:	4593.699000	4594.81100	or Friday [lah]	[lah]	3009
3009-2	B:	4799.578000	4801.74100	ya [lah] more or less your favorite colour is purple [lah]	[lah]	3009
3009-2	B:	4811.628000	4814.38800	ya [lah] so it's means I fifty percent correct [lah]	[lah]	3009
3009-1	A:	5062.629000	5063.72900	my grandpa [lah]	[lah]	3009
3009-1	A:	5465.767000	5466.87200	that's why he useless [lah]	[lah]	3009
3009-2	B:	5471.251000	5473.96400	went to a better place it moved something [lah] something changed [lah]	[lah]	3009
3009-1	A:	5645.725000	5646.92000	before thirty five [lah]	[lah]	3009
3009-1	A:	5682.111000	5683.24800	I don't think is wise [lah]	[lah]	3009
3009-1	A:	5897.419000	5898.54400	twenty eight twenty nine [lah]	[lah]	3009
3009-2	B:	5940.551000	5945.36400	I mean like I plan to work really hard from now until thirty then see where it takes me [lah]	[lah]	3009
3009-1	A:	6029.369000	6031.96900	children and education part [lah]	[lah]	3009
3009-2	B:	6067.709000	6068.67200	(ppo) you [lah]	[lah]	3009
3009-2	B:	6079.797000	6080.93400	ya don't give [lah]	[lah]	3009
3009-2	B:	6080.934000	6081.93400	don't give [lah]	[lah]	3009
3009-2	B:	6144.058000	6145.38300	ya [lah]	[lah]	3009
3009-1	A:	6304.568000	6306.59416	it depends on what changed first [lah]	[lah]	3009
3009-1	A:	6313.730000	6315.11700	give me an example [lah]	[lah]	3009
3009-1	A:	6374.766000	6375.85300	of course [lah]	[lah]	3009
3009-1	A:	6505.440000	6506.33700	suck it up [lah]	[lah]	3009
3009-1	A:	6507.675000	6509.37500	then what improve [lah]	[lah]	3009
3009-1	A:	6723.481000	6726.54300	no but this like interacting with people [lah]	[lah]	3009
3009-1	A:	6736.856000	6738.64300	ya it's so interacting [lah]	[lah]	3009
3009-1	A:	6790.041000	6790.54100	ya [lah]	[lah]	3009
3009-2	B:	6828.691000	6830.68400	no not sharks [lah] not about sharks [lah]	[lah]	3009
3009-2	B:	6876.445000	6877.71300	(ppb) which is what [lah]	[lah]	3009
3009-1	A:	6942.469000	6943.56900	ya [lah]	[lah]	3009
